incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
751219302,16002258,02/05/2016 07:35:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,2500 Block CASTRO VALLEY BLVD,,CASTRO_VALLEY,CA,,,37.6934981068942,-122.088799598666,03/01/2016 07:39:03 AM,03/23/2016 09:11:38 AM,POINT (-122.088799598666 37.6934981068942),19,Friday,Other Sexual Offense
748326645,16001727,01/28/2016 05:45:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1 Block AV & FOOTHILL BLVD,,OAKLAND,CA,,,37.7845863860659,-122.228943866528,01/30/2016 07:42:40 AM,03/03/2016 10:14:49 AM,POINT (-122.228943866528 37.7845863860659),17,Thursday,Other Sexual Offense
748326644,16001735,01/28/2016 07:39:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1 Block AV & FOOTHILL BLVD,,OAKLAND,CA,,,37.7934002354994,-122.247806084226,01/30/2016 07:42:40 AM,03/03/2016 10:14:49 AM,POINT (-122.247806084226 37.7934002354994),19,Thursday,Other Sexual Offense
749504464,16002469,02/08/2016 11:20:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,E 9TH ST & FRUITVALE AV,,OAKLAND,CA,,,37.7734782869044,-122.22782018217,02/10/2016 07:41:02 AM,03/03/2016 10:10:36 AM,POINT (-122.22782018217 37.7734782869044),23,Monday,Other Sexual Offense
657447161,15000351,01/07/2015 04:57:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1 Block AV & INDEPENDENCE WAY,,OAKLAND,CA,,,37.7885581321648,-122.239039150781,01/09/2015 10:08:29 AM,01/17/2015 02:24:46 PM,POINT (-122.239039150781 37.7885581321648),16,Wednesday,Other Sexual Offense
657447159,15000356,01/07/2015 06:36:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,700 Block E 12TH ST,,OAKLAND,CA,,,37.7934076225493,-122.252859929258,01/09/2015 10:08:29 AM,01/17/2015 02:24:43 PM,POINT (-122.252859929258 37.7934076225493),18,Wednesday,Other Sexual Offense
657447158,15000360,01/07/2015 07:09:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1 Block AV & FOOTHILL BLVD,,OAKLAND,CA,,,37.7970745157744,-122.251942631675,01/09/2015 10:08:29 AM,01/17/2015 02:24:42 PM,POINT (-122.251942631675 37.7970745157744),19,Wednesday,Other Sexual Offense
657447157,15000363,01/07/2015 07:54:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,4300 Block E 12TH ST,,OAKLAND,CA,,,37.7712956767024,-122.215519706768,01/09/2015 10:08:29 AM,01/17/2015 02:24:41 PM,POINT (-122.215519706768 37.7712956767024),19,Wednesday,Other Sexual Offense
672891647,15000880,01/16/2015 11:19:00 AM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,E 14TH ST & 164TH AV,,SAN_LEANDRO,CA,,,37.6947543483944,-122.113576612972,01/25/2015 10:08:39 AM,01/26/2015 10:13:19 AM,POINT (-122.113576612972 37.6947543483944),11,Friday,Other Sexual Offense
678242777,15001688,01/29/2015 06:34:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1 Block AV & FOOTHILL BLVD,,OAKLAND,CA,,,37.78478476214,-122.232271047928,01/30/2015 10:08:33 AM,02/08/2015 10:13:54 AM,POINT (-122.232271047928 37.78478476214),18,Thursday,Other Sexual Offense
710243754,15004267,03/12/2015 11:53:00 AM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,16400 Block E 14TH ST,,SAN_LEANDRO,CA,,,37.69389977313,-122.111795153878,03/20/2015 09:09:10 AM,03/22/2015 09:09:36 AM,POINT (-122.111795153878 37.69389977313),11,Thursday,Other Sexual Offense
710178515,15004604,03/17/2015 08:41:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1 Block AV & INTERNATIONAL BLVD,,OAKLAND,CA,,,37.7807590090556,-122.231450378501,03/19/2015 09:08:53 AM,03/28/2015 09:08:14 AM,POINT (-122.231450378501 37.7807590090556),20,Tuesday,Other Sexual Offense
711309030,15005352,03/29/2015 04:46:00 AM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,16500 Block FOOTHILL BLVD,,SAN_LEANDRO,CA,,,37.6980520836206,-122.105420788377,03/30/2015 09:08:56 AM,04/08/2015 09:09:01 AM,POINT (-122.105420788377 37.6980520836206),4,Sunday,Other Sexual Offense
711965018,15005724,04/03/2015 07:15:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,INTERNATIONAL BLVD & MILLER AV,,OAKLAND,CA,,,37.7827695863732,-122.234819727481,04/08/2015 09:09:00 AM,04/13/2015 09:08:35 AM,POINT (-122.234819727481 37.7827695863732),19,Friday,Other Sexual Offense
714554682,15007248,04/28/2015 06:16:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,INTERNATIONAL BLVD & MILLER AV,,OAKLAND,CA,,,37.7827695863732,-122.234819727481,04/30/2015 09:09:10 AM,05/08/2015 09:18:58 AM,POINT (-122.234819727481 37.7827695863732),18,Tuesday,Other Sexual Offense
715995790,15007890,05/08/2015 07:30:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1 Block AV & INTERNATIONAL BLVD,,OAKLAND,CA,,,37.787085338923,-122.242050444779,05/13/2015 09:09:08 AM,05/18/2015 09:12:18 AM,POINT (-122.242050444779 37.787085338923),19,Friday,Other Sexual Offense
