CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,LOCATION,CITY,STATE
PROSTITUTION,01/07/2015 04:43:00 PM,15-001246,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 12TH AV,Oakland,CA
PROSTITUTION,01/07/2015 04:43:00 PM,15-001246,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 12TH AV,Oakland,CA
PROSTITUTION,01/07/2015 04:58:00 PM,15-001250,DISORDERLY CONDUCT:PROSTITUTION,19X,1700 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,01/07/2015 04:58:00 PM,15-001250,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1700 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,01/07/2015 05:15:00 PM,15-001253,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MITCHELL ST,Oakland,CA
PROSTITUTION,01/07/2015 05:15:00 PM,15-001253,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 MITCHELL ST,Oakland,CA
PROSTITUTION,01/07/2015 06:23:00 PM,15-001269,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,01/07/2015 06:23:00 PM,15-001269,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,01/07/2015 07:40:00 PM,15-001289,DISORDERLY CONDUCT:PROSTITUTION,23X,1400 40TH AV,Oakland,CA
PROSTITUTION,01/07/2015 07:40:00 PM,15-001289,DISORDERLY CONDUCT:SOLICIT LEWD ACT,23X,1400 40TH AV,Oakland,CA
PROSTITUTION,01/07/2015 07:56:00 PM,15-001292,DISORDERLY CONDUCT:PROSTITUTION,26X,4000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,01/07/2015 07:56:00 PM,15-001292,DISORDERLY CONDUCT:SOLICIT LEWD ACT,26X,4000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,01/08/2015 04:05:00 PM,15-001434,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 04:18:00 PM,15-001438,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 04:30:00 PM,15-001439,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 04:30:00 PM,15-001439,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 05:00:00 PM,15-001447,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 05:14:00 PM,15-001451,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 05:25:00 PM,15-001450,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 05:34:00 PM,15-001468,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 05:48:00 PM,15-001455,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 06:00:00 PM,15-001458,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 06:25:00 PM,15-001471,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 06:40:00 PM,15-001475,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
PROSTITUTION,01/08/2015 07:55:00 PM,15-001484,DISORDERLY CONDUCT:PROSTITUTION,19X,1755 EMBARCADERO,Oakland,CA
OTHER SEX OFFENSES,01/09/2015 03:55:00 PM,15-001637,DISORDERLY CONDUCT:SOLICIT LEWD ACT,03Y,490 7TH ST,Oakland,CA
PROSTITUTION,01/13/2015 04:50:00 PM,15-002408,DISORDERLY CONDUCT:PROSTITUTION,18X,1700 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,01/13/2015 04:50:00 PM,15-002408,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,1700 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,01/13/2015 04:55:00 PM,15-002406,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 BLK. OF 17TH AV.,Oakland,CA
OTHER,01/13/2015 05:00:00 PM,15-002614,DISORDERLY CONDUCT:SOLICIT LEWD ACT,01X,200 200 HARRISON ST ST,Oakland,CA
PROSTITUTION,01/13/2015 05:12:00 PM,15-002414,DISORDERLY CONDUCT:PROSTITUTION,23X,1400 BLOCK OF 23RD AVE,Oakland,CA
DISORDERLY CONDUCT,01/13/2015 05:26:00 PM,15-002415,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 BLOCK OF 19TH AVENUE,Oakland,CA
