"CrimeType","DateTime","CaseNumber","Description","PoliceBeat","Address","City","State"
"MOTOR VEHICLE THEFT","2104-08-08 00:00:00","14-040258","VEHICLE THEFT - AUTO","02X","12TH ST & MANDELA PKWY","Oakland","CA"
"ROBBERY","2030-01-11 19:00:00","14-023460","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","23X","3600 BLK OF INTERNATIONAL BL","Oakland","CA"
"VANDALISM","2040-02-01 21:40:00","14-035766","VANDALISM [UNDER $1,000] (AMENDED)","09X","600 FAIRMOUNT AV","Oakland","CA"
"THEFT/LARCENY","2050-01-03 13:55:00","14-038177","BURGLARY-AUTO","08X","TELEGRAPH AV & W MACARTHUR BLVD","Oakland","CA"
"BURGLARY","2034-01-01 10:00:00","14-047941","BURGLARY-FORCIBLE ENTRY","31Z","11100 ACALANES DR","Oakland","CA"
"ASSAULT","2019-01-07 18:27:00","14-054853","SC BATTERY","34X","1400 89TH AV","Oakland","CA"
"VANDALISM","2030-01-08 18:30:00","14-027546","VANDALISM","30X","2500 HAVENSCOURT BLVD","Oakland","CA"
"VANDALISM","2040-01-01 00:00:00","14-031456","VANDALISM [UNDER $1,000] (AMENDED)","20X","2600 E 12TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2914-07-02 19:00:00","14-033621","VEHICLE THEFT - AUTO","31Y","300 HUNTER AVE","Oakland","CA"
"SEX CRIMES","2020-01-07 17:00:00","14-018939","SUPV/ETC PROSTITUTION","19X","1700 EMBARCADERO","Oakland","CA"
"THEFT/LARCENY","2019-04-14 11:00:00","14-019401","BURGLARY-AUTO","12X","300 ORANGE ST","Oakland","CA"
"ASSAULT","2018-03-25 18:41:00","18-015135","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","03Y","900 CLAY ST","Oakland","CA"
"THEFT/LARCENY","2018-02-21 05:00:00","18-903601","BURGLARY-AUTO","08X","500 24TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-30 22:00:00","18-016307","GRAND THEFT","30Y","7600 BANCROFT AV","Oakland","CA"
"ASSAULT","2018-03-30 18:22:00","18-016161","THREAT CRIME:INT:TERRORIZE","19X","700 E 11TH ST","Oakland","CA"
"ASSAULT","2018-03-30 23:35:00","18-016163","BATTERY","24X","3500 GRAY ST","Oakland","CA"
"ASSAULT","2018-03-31 23:56:00","18-016164","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","12Y","5100 SHAFTER AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 09:15:00","18-016167","VEHICLE THEFT - AUTO","04X","600 WILLIAM ST","Oakland","CA"
